77388
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 59.36   38.906991       17087      2277           semget
 14.28    9.361635         289     32340           msgget
 11.76    7.706786         378     20365        35 recv
  5.87    3.847671         890      4324           write
  4.75    3.114084         312      9976           gettimeofday
  1.84    1.202793         262      4587      1335 read
  0.72    0.473067         583       811           getpid
  0.52    0.341632         427       800           sigprocmask
  0.29    0.186863         283       661           lseek
  0.26    0.173307         309       561           writev
  0.10    0.067791        2118        32           open
  0.07    0.045546         304       150           munmap
  0.07    0.045196         514        88           mmap2
  0.03    0.022052         185       119           close
  0.03    0.019057         132       144           getdents64
  0.03    0.017543         270        65           ioctl
  0.01    0.004142         518         8           mprotect
  0.00    0.002916          38        76           getrusage
  0.00    0.000494         124         4           clone
------ ----------- ----------- --------- --------- ----------------
100.00   65.539566                 77388      1370 total
