76031
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 55.56   31.817189        8705      3655           semget
 18.74   10.733318         306     35019           msgget
  8.75    5.012322         988      5075           sigprocmask
  5.80    3.321582         191     17376           recv
  4.26    2.440986         779      3132           write
  3.59    2.054755         433      4745           gettimeofday
  1.90    1.085464         180      6022      2331 read
  1.20    0.688738         990       696           getpid
  0.12    0.066379         544       122           lseek
  0.04    0.021368         334        64           writev
  0.02    0.011328         596        19           mmap2
  0.02    0.009586         157        61           getdents64
  0.01    0.003890         278        14           getrusage
  0.00    0.001409          94        15           munmap
  0.00    0.001061         177         6           close
  0.00    0.000271          45         6           ioctl
  0.00    0.000231         116         2           open
  0.00    0.000163         163         1           clone
  0.00    0.000071          71         1           mprotect
------ ----------- ----------- --------- --------- ----------------
100.00   57.270111                 76031      2331 total
