89763
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 40.50   13.365693         380     35190           msgget
 33.63   11.098594         565     19629           write
 10.35    3.414619         232     14694        64 recv
  9.97    3.290676         300     10972           gettimeofday
  3.03    0.999535         148      6736      1171 read
  0.63    0.206724         149      1384           semget
  0.57    0.186447        1304       143           sigprocmask
  0.36    0.117293         889       132           mmap2
  0.35    0.116676         465       251           getdents64
  0.20    0.064348         426       151           getpid
  0.17    0.055549         356       156           lseek
  0.09    0.029349         247       119           munmap
  0.07    0.024327         297        82           getrusage
  0.06    0.020616         859        24           close
  0.01    0.003437         123        28           open
  0.01    0.002329          42        56           ioctl
  0.00    0.001149         104        11           mprotect
  0.00    0.000486         486         1           writev
  0.00    0.000149         149         1           clone
  0.00    0.000080          40         2           fstat64
  0.00    0.000060          60         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   32.998136                 89763      1235 total
