65954
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 74.36   64.633789       18855      3428      1018 read
  7.24    6.289723         338     18602           write
  6.30    5.477772         239     22952           msgget
  6.12    5.321546        3913      1360           semget
  3.90    3.387330         277     12224        35 recv
  1.94    1.684771         238      7080           gettimeofday
  0.05    0.039846         906        44           mmap2
  0.03    0.025118         558        45           getdents64
  0.03    0.023519         428        55           getpid
  0.02    0.016232         812        20           munmap
  0.02    0.013535         451        30           writev
  0.00    0.001602          59        27        24 stat64
  0.00    0.000909          91        10           open
  0.00    0.000775          52        15           mprotect
  0.00    0.000641          32        20           getrusage
  0.00    0.000518          65         8         5 access
  0.00    0.000470          39        12           close
  0.00    0.000376          63         6           lseek
  0.00    0.000266          38         7           ioctl
  0.00    0.000149         149         1           clone
  0.00    0.000128          32         4           sigprocmask
  0.00    0.000084          42         2           fstat64
  0.00    0.000059          59         1           brk
  0.00    0.000037          37         1           dup
------ ----------- ----------- --------- --------- ----------------
100.00   86.919195                 65954      1082 total
