56055
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 41.17   16.606122       12068      1376           semget
 19.25    7.764307         373     20824           msgget
 14.89    6.005910         418     14369        75 recv
 10.35    4.175025         625      6679           write
  6.90    2.782948         519      5365           gettimeofday
  2.37    0.956534         237      4036       923 read
  2.11    0.850302        1039       818           sigprocmask
  1.03    0.416846         522       799           getpid
  0.57    0.230502         539       428           getdents64
  0.38    0.151922         863       176           lseek
  0.34    0.135682         371       366           munmap
  0.22    0.087084         528       165           mmap2
  0.15    0.061209        1155        53           open
  0.14    0.054673         183       299           close
  0.09    0.036906         543        68           ioctl
  0.04    0.017025         121       141           writev
  0.01    0.002248          50        45           dup
  0.00    0.001691          45        38           getrusage
  0.00    0.001247         416         3           clone
  0.00    0.000207          69         3           mprotect
  0.00    0.000109          36         3           _llseek
  0.00    0.000035          35         1           fstat64
------ ----------- ----------- --------- --------- ----------------
100.00   40.338534                 56055       998 total
