66520
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 54.31   38.568867       22411      1721           semget
 14.47   10.274264         435     23624           msgget
 11.65    8.271169         513     16115       141 recv
  9.31    6.612096         527     12542           gettimeofday
  4.87    3.460693        1211      2857           write
  2.03    1.439715         242      5937      1107 read
  1.13    0.800933         507      1581           lseek
  0.89    0.631014        1038       608           getpid
  0.65    0.464947        1042       446           sigprocmask
  0.25    0.175804        1707       103           mmap2
  0.10    0.070721         332       213           munmap
  0.09    0.063624         805        79           open
  0.08    0.058978         371       159           getdents64
  0.06    0.044347         226       196           close
  0.03    0.019652        1092        18           writev
  0.03    0.018002         220        82           getrusage
  0.02    0.016736         139       120           ioctl
  0.02    0.015788         272        58           mprotect
  0.02    0.012390         221        56           fstat64
  0.00    0.000171          57         3           brk
  0.00    0.000084          42         2           dup
------ ----------- ----------- --------- --------- ----------------
100.00   71.019995                 66520      1248 total
