136162
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 34.21   18.963680         305     62127           msgget
 25.95   14.384854        3882      3706           semget
 15.47    8.575651         256     33515       812 recv
 11.79    6.537680         348     18762           gettimeofday
  7.53    4.172051         606      6889           write
  2.39    1.322576         890      1486           getpid
  2.01    1.114246         138      8077      2434 read
  0.36    0.201387         278       724           lseek
  0.09    0.049718         211       236           sigprocmask
  0.08    0.042586         687        62           mmap2
  0.05    0.028104         335        84           getdents64
  0.03    0.017769         103       172           munmap
  0.03    0.014817          93       159           close
  0.01    0.004518         116        39           open
  0.00    0.002455          38        65           ioctl
  0.00    0.001260          37        34           getrusage
  0.00    0.001091         218         5           writev
  0.00    0.000518         173         3           clone
  0.00    0.000306          61         5           mprotect
  0.00    0.000302          34         9           dup
  0.00    0.000072          36         2           fstat64
  0.00    0.000047          47         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   55.435688                136162      3246 total
