107804
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 25.14   11.680178         496     23534           write
 22.92   10.649053         311     34278           msgget
 22.24   10.334599         479     21563        82 recv
 17.80    8.271854         709     11664           gettimeofday
  9.73    4.520303         315     14349      1693 read
  1.31    0.606624         308      1968           semget
  0.30    0.137186        1386        99           mmap2
  0.13    0.060074        2861        21           open
  0.10    0.045672         972        47           sigprocmask
  0.09    0.039860         518        77           getdents64
  0.08    0.038366        1323        29           mprotect
  0.06    0.029664         618        48           munmap
  0.05    0.021047        1619        13           close
  0.04    0.016505         611        27           getpid
  0.02    0.007785         487        16           lseek
  0.01    0.003037          78        39           ioctl
  0.00    0.001596         100        16           writev
  0.00    0.000445          37        12           getrusage
  0.00    0.000148         148         1           clone
  0.00    0.000111          37         3           dup
------ ----------- ----------- --------- --------- ----------------
100.00   46.464107                107804      1775 total
