83132
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 29.47   15.554621        6588      2361           semget
 25.74   13.586579         435     31226           msgget
 18.62    9.828584         469     20940        44 recv
 11.79    6.222040         402     15493           gettimeofday
  6.72    3.546137        1341      2644           write
  2.42    1.277044         480      2662           lseek
  2.05    1.080888         184      5865      1268 read
  1.45    0.767556         999       768           sigprocmask
  0.96    0.508786        1020       499           getpid
  0.35    0.184602        1943        95           mmap2
  0.17    0.091944         505       182           getdents64
  0.09    0.048294        1509        32           open
  0.08    0.041582         306       136           munmap
  0.05    0.025304         843        30           writev
  0.02    0.012777         125       102           close
  0.01    0.007856         192        41           ioctl
  0.01    0.002653        1327         2           clone
  0.00    0.001437          36        40           getrusage
  0.00    0.000444          74         6           mprotect
  0.00    0.000198          40         5           dup
  0.00    0.000080          40         2           fstat64
  0.00    0.000051          51         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   52.789457                 83132      1312 total
