98037
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 41.69   22.572557        7043      3205           semget
 23.98   12.980386         307     42219           msgget
 14.09    7.628992         316     24107       142 recv
  9.86    5.340723         330     16182           gettimeofday
  5.79    3.136310         895      3504           write
  1.81    0.978156         174      5625      1801 read
  0.85    0.460403         695       662           getpid
  0.72    0.391288         316      1240           lseek
  0.35    0.190992         520       367           sigprocmask
  0.23    0.123617        2095        59           mmap2
  0.18    0.097113         351       277           getdents64
  0.16    0.085550        3720        23           open
  0.15    0.080485         369       218           close
  0.11    0.057511         233       247           munmap
  0.02    0.013446         306        44           ioctl
  0.00    0.001473         134        11           writev
  0.00    0.000953          34        28           getrusage
  0.00    0.000514         129         4           clone
  0.00    0.000336          56         6           mprotect
  0.00    0.000269          45         6           dup
  0.00    0.000104          52         2           fstat64
  0.00    0.000050          50         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   54.141228                 98037      1943 total
