124157
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 51.78   26.966879        4361      6184           semget
 17.58    9.154245         159     57446           msgget
 12.73    6.627793         205     32409        97 recv
  8.46    4.403328        1148      3837           write
  4.36    2.271854         194     11739           gettimeofday
  2.38    1.240057         134      9248      3540 read
  1.19    0.619144         836       741           getpid
  0.75    0.389289         774       503           sigprocmask
  0.51    0.264856         212      1247           lseek
  0.08    0.042852         177       242           close
  0.07    0.034994         129       271           munmap
  0.04    0.022940         637        36           getdents64
  0.04    0.019897         172       116           writev
  0.03    0.014096         261        54           mmap2
  0.00    0.002359          37        64           getrusage
  0.00    0.001172         586         2           clone
  0.00    0.000418          70         6           ioctl
  0.00    0.000398         133         3           open
  0.00    0.000203         102         2           mprotect
  0.00    0.000167          56         3           _llseek
  0.00    0.000147          49         3           dup
  0.00    0.000040          40         1           fstat64
------ ----------- ----------- --------- --------- ----------------
100.00   52.077128                124157      3637 total

