86543
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 39.90   12.207723         289     42307           msgget
 23.32    7.134053         373     19132       977 recv
 17.46    5.342295         647      8252           write
  8.86    2.711481        1123      2415           getpid
  4.85    1.484255         263      5646           gettimeofday
  4.14    1.267124         192      6605      1496 read
  0.62    0.188666         625       302           sigprocmask
  0.43    0.130999          83      1582           semget
  0.17    0.052928        1260        42           lseek
  0.07    0.022771         219       104           munmap
  0.07    0.022474         899        25           mmap2
  0.04    0.012032        1504         8           getdents64
  0.03    0.008404        2101         4           mprotect
  0.02    0.005476          58        94           close
  0.00    0.001352         451         3           writev
  0.00    0.000435          31        14           getrusage
  0.00    0.000324         162         2           clone
  0.00    0.000225         113         2           open
  0.00    0.000157          52         3           ioctl
  0.00    0.000034          34         1           dup
------ ----------- ----------- --------- --------- ----------------
100.00   30.593208                 86543      2473 total
