80485
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 63.50   49.150086       19117      2571           semget
 15.83   12.248351         575     21316        74 recv
  7.18    5.554400         203     27343           msgget
  7.07    5.469114         279     19607           gettimeofday
  4.42    3.424669        1154      2968           write
  1.01    0.781098         182      4297      1499 read
  0.32    0.249041         403       618           getpid
  0.15    0.112418         219       513           lseek
  0.12    0.090033         481       187           sigprocmask
  0.09    0.067987         472       144           ioctl
  0.08    0.063536         543       117           mmap2
  0.07    0.054831         248       221           close
  0.07    0.050709         211       240           munmap
  0.04    0.030964         436        71           getdents64
  0.03    0.025586         492        52           open
  0.02    0.013522          77       176           getrusage
  0.01    0.011178         349        32           writev
  0.00    0.000276          55         5           mprotect
  0.00    0.000164          41         4           fstat64
  0.00    0.000120          60         2           brk
  0.00    0.000117         117         1           clone
------ ----------- ----------- --------- --------- ----------------
100.00   77.398200                 80485      1573 total
