89862
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 33.00   18.266488        4542      4022           semget
 22.02   12.188832         323     37760           msgget
 19.11   10.577086         441     23997        38 recv
 11.48    6.356208         567     11213           gettimeofday
  7.49    4.146611        1391      2982           write
  2.27    1.256119         189      6657      2361 read
  1.76    0.972394        1566       621           sigprocmask
  1.17    0.647386         902       718           getpid
  0.78    0.429412         417      1030           lseek
  0.41    0.227928        3039        75           mmap2
  0.16    0.086195         373       231           munmap
  0.15    0.080723         360       224           close
  0.09    0.051410         253       203           getdents64
  0.05    0.025629        1831        14           open
  0.02    0.013752        1375        10           dup
  0.02    0.011783         393        30           getrusage
  0.02    0.010148         483        21           ioctl
  0.00    0.001919         274         7           clone
  0.00    0.001566         104        15           mprotect
  0.00    0.001450         207         7           writev
  0.00    0.000454          38        12           _llseek
  0.00    0.000400          40        10           fstat64
  0.00    0.000154          51         3           brk
------ ----------- ----------- --------- --------- ----------------
100.00   55.354047                 89862      2399 total
