66113
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 56.11   24.852198       14105      1762           semget
 15.58    6.902134         245     28123           msgget
  8.97    3.973796        1011      3929           write
  7.99    3.540788         237     14930       142 recv
  6.54    2.895287         327      8845           gettimeofday
  1.92    0.851852         173      4935      1218 read
  0.90    0.397425         486       817           getpid
  0.78    0.345554         273      1266           lseek
  0.22    0.097485         878       111           mmap2
  0.21    0.092516         235       393           sigprocmask
  0.20    0.089653         557       161           close
  0.17    0.076063         261       291           writev
  0.16    0.070240        1405        50           open
  0.15    0.067013         312       215           munmap
  0.07    0.031245         306       102           getdents64
  0.02    0.008367          63       133           ioctl
  0.00    0.001274          32        40           getrusage
  0.00    0.000247          62         4           mprotect
  0.00    0.000154          39         4           fstat64
  0.00    0.000099          50         2           brk
------ ----------- ----------- --------- --------- ----------------
100.00   44.293390                 66113      1360 total
