53070
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 84.89   76.924059       29372      2619           semget
  4.77    4.320507         190     22705           msgget
  3.94    3.567971        1896      1882           write
  3.84    3.479517         258     13511        44 recv
  1.73    1.570488         209      7498           gettimeofday
  0.56    0.504575         132      3824      1552 read
  0.13    0.114188         323       354           lseek
  0.08    0.076168         253       301           getpid
  0.01    0.012053         574        21           mmap2
  0.01    0.011455         112       102           munmap
  0.01    0.009585          99        97           close
  0.01    0.007920         180        44           sigprocmask
  0.01    0.006000         158        38           getdents64
  0.01    0.005015         104        48           getrusage
  0.00    0.000793          66        12           ioctl
  0.00    0.000681         170         4           writev
  0.00    0.000567         189         3           clone
  0.00    0.000562         141         4           open
  0.00    0.000204          68         3           mprotect
------ ----------- ----------- --------- --------- ----------------
100.00   90.612308                 53070      1596 total
