109984
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 35.93   15.198793        3792      4008           semget
 25.61   10.833219         229     47387           msgget
 19.04    8.055071         253     31793       101 recv
  7.84    3.316999         698      4749           write
  6.32    2.675316         291      9203           gettimeofday
  2.32    0.982375         111      8826      2538 read
  0.86    0.365639         322      1134           lseek
  0.76    0.323363         282      1147           getpid
  0.62    0.263169         374       704           sigprocmask
  0.23    0.095968        1919        50           mmap2
  0.21    0.089906         235       383           munmap
  0.15    0.062958         167       376           close
  0.05    0.019150         348        55           getdents64
  0.02    0.007248        1812         4           dup
  0.01    0.002507          90        28           open
  0.00    0.002011          50        40           getrusage
  0.00    0.001948          49        40           mprotect
  0.00    0.001273          34        38           fstat64
  0.00    0.000892          59        15           ioctl
  0.00    0.000411         411         1           writev
  0.00    0.000279         140         2           clone
  0.00    0.000054          54         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   42.298549                109984      2639 total
