133686
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 30.54   13.815089         330     41885       331 recv
 29.59   13.389149         277     48410           msgget
 27.97   12.652651         527     24007           write
  5.56    2.513882         229     10960      1372 read
  4.84    2.187940         402      5441           gettimeofday
  0.74    0.335935         151      2226           semget
  0.24    0.107118         893       120           getdents64
  0.23    0.102038         709       144           mmap2
  0.08    0.037394         273       137           munmap
  0.05    0.023169         644        36           open
  0.05    0.021877        5469         4           clone
  0.05    0.021403         382        56           sigprocmask
  0.03    0.013694         236        58           close
  0.03    0.013264         198        67           getpid
  0.01    0.002276          46        50           ioctl
  0.00    0.001433          45        32           getrusage
  0.00    0.001367         114        12           writev
  0.00    0.001020          38        27           dup
  0.00    0.000321          54         6           lseek
  0.00    0.000236          59         4           mprotect
  0.00    0.000124          41         3           _llseek
  0.00    0.000039          39         1           fstat64
------ ----------- ----------- --------- --------- ----------------
100.00   45.241419                133686      1703 total
