56438
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 64.94   45.514636       23558      1932           semget
 10.44    7.315870         318     23003           msgget
  8.50    5.960643        1937      3077           write
  7.69    5.389985         414     13019        36 recv
  2.92    2.044368         337      6070           gettimeofday
  2.36    1.650654        1241      1330           sigprocmask
  1.80    1.263562         235      5382      1208 read
  0.69    0.484121         297      1630           lseek
  0.48    0.338904         570       595           getpid
  0.05    0.032907         268       123           close
  0.03    0.019918         664        30           mmap2
  0.03    0.019230         687        28           getdents64
  0.02    0.016632         126       132           munmap
  0.02    0.013120         285        46           getrusage
  0.02    0.012343        1763         7           open
  0.01    0.008603        2868         3           fstat64
  0.00    0.000638         319         2           writev
  0.00    0.000569          47        12           ioctl
  0.00    0.000524         131         4           clone
  0.00    0.000402          67         6           mprotect
  0.00    0.000181          60         3           _llseek
  0.00    0.000133          44         3           dup
  0.00    0.000063          63         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   70.088006                 56438      1244 total

