92785
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 32.33   16.793654        5949      2823           semget
 24.74   12.853239         358     35940           msgget
 18.45    9.585539         414     23131       255 recv
 10.36    5.382375         360     14954           gettimeofday
  8.50    4.415125         854      5167           write
  1.91    0.991573         146      6774      1667 read
  1.45    0.755763         484      1560           lseek
  0.81    0.422220         317      1330           getpid
  0.79    0.412734         869       475           sigprocmask
  0.31    0.161221        2986        54           mmap2
  0.16    0.085315         614       139           getdents64
  0.07    0.037739        2903        13           open
  0.04    0.018852         142       133           munmap
  0.02    0.012372         200        62           writev
  0.02    0.011556         100       116           close
  0.01    0.006533         363        18           ioctl
  0.01    0.003218          38        85           getrusage
  0.00    0.000425         142         3           clone
  0.00    0.000345          69         5           mprotect
  0.00    0.000075          38         2           fstat64
  0.00    0.000056          56         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   51.949929                 92785      1922 total
