66108
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 44.20   19.243203       16954      1135           semget
 18.44    8.029683         354     22659           msgget
 11.92    5.189809         315     16458        50 recv
 10.38    4.518113         980      4610           write
  9.45    4.115506         291     14156           gettimeofday
  1.95    0.848384         234      3621       795 read
  1.10    0.480787        1178       408           sigprocmask
  1.04    0.454360         608       747           lseek
  0.59    0.254721        1769       144           mmap2
  0.50    0.218230         213      1023           getpid
  0.16    0.067946         165       413           munmap
  0.14    0.060294         341       177           getdents64
  0.06    0.027658          93       298           close
  0.03    0.014950         154        97           writev
  0.01    0.004538          95        48           getrusage
  0.01    0.003944         113        35           open
  0.01    0.002648          43        62           ioctl
  0.00    0.000711          89         8           mprotect
  0.00    0.000194          39         5           fstat64
  0.00    0.000110          55         2           brk
  0.00    0.000098          49         2           dup
------ ----------- ----------- --------- --------- ----------------
100.00   43.535887                 66108       845 total
