77355
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 45.20   26.099550       10163      2568           semget
 18.22   10.522833         340     30977           msgget
 13.83    7.983469         402     19856        76 recv
  9.71    5.606981        1514      3703           write
  3.43    1.981296         334      5934           gettimeofday
  3.38    1.950569        1129      1727           sigprocmask
  2.62    1.511648         447      3384           lseek
  2.55    1.470879         192      7679      1677 read
  0.55    0.319733         475       673           getpid
  0.14    0.078321         617       127           getdents64
  0.10    0.055024         254       217           close
  0.07    0.037672         168       224           munmap
  0.06    0.036854        1053        35           open
  0.06    0.032215         366        88           ioctl
  0.04    0.021934         457        48           mmap2
  0.03    0.016880        1876         9           fstat64
  0.02    0.011100         347        32           getrusage
  0.01    0.004483          83        54           writev
  0.00    0.000579          53        11           mprotect
  0.00    0.000357         119         3           clone
  0.00    0.000141          47         3           _llseek
  0.00    0.000074          37         2           dup
  0.00    0.000050          50         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   57.742642                 77355      1753 total
