70904
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 34.38   11.974339         479     24979           msgget
 13.88    4.832849        5061       955           semget
 13.69    4.769407         457     10426           gettimeofday
 11.46    3.990214         354     11274        25 recv
  9.62    3.350361        1586      2112           write
  7.08    2.464290         295      8366           lseek
  4.86    1.692411         163     10380       634 read
  2.53    0.882256         726      1216           sigprocmask
  1.24    0.433030        1105       392           getpid
  0.57    0.198289         457       434           getdents64
  0.40    0.138061        1423        97           mmap2
  0.10    0.033293         694        48           ioctl
  0.09    0.030955         316        98           munmap
  0.05    0.018979         351        54           close
  0.04    0.014834         927        16           open
  0.01    0.003395          74        46           getrusage
  0.00    0.000590         197         3           writev
  0.00    0.000328         109         3           clone
  0.00    0.000277          55         5           mprotect
------ ----------- ----------- --------- --------- ----------------
100.00   34.828158                 70904       659 total
