63016
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 61.60   39.927960       20971      1904           semget
 13.01    8.429657         308     27386           msgget
 11.06    7.170725         418     17165       181 recv
  8.23    5.334009         913      5840           write
  2.65    1.714947         416      4123           gettimeofday
  1.60    1.039864         248      4186      1221 read
  0.90    0.584250        1325       441           sigprocmask
  0.46    0.298809         273      1096           getpid
  0.30    0.193101         661       292           lseek
  0.07    0.045880        1349        34           mmap2
  0.07    0.042326         171       247           munmap
  0.05    0.029260         120       244           close
  0.00    0.001910         119        16           open
  0.00    0.001008          48        21           ioctl
  0.00    0.000598         598         1           writev
  0.00    0.000561         187         3           getdents64
  0.00    0.000412          37        11           dup
  0.00    0.000400         100         4           mprotect
  0.00    0.000288         144         2           clone
------ ----------- ----------- --------- --------- ----------------
100.00   64.815965                 63016      1402 total
