67216
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 31.60   12.449706         334     37248           msgget
 25.21    9.932296        3464      2867           write
 23.30    9.179098        4601      1995           semget
 15.40    6.065277         356     17037        40 recv
  2.07    0.813780         202      4035      1845 read
  1.70    0.669586         197      3404           gettimeofday
  0.49    0.192833         728       265           getpid
  0.08    0.030961        1032        30           lseek
  0.05    0.020971         179       117           close
  0.04    0.014562         123       118           munmap
  0.02    0.008527        2132         4           open
  0.02    0.006697         335        20           sigprocmask
  0.02    0.006524         152        43           getdents64
  0.01    0.002954         246        12           mmap2
  0.00    0.000652          50        13           ioctl
  0.00    0.000302         151         2           clone
  0.00    0.000146          37         4           getrusage
  0.00    0.000142          71         2           mprotect
------ ----------- ----------- --------- --------- ----------------
100.00   39.395014                 67216      1885 total
