56989
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 44.51   19.847310       13401      1481           semget
 19.14    8.533829         385     22147           msgget
 12.67    5.648883         373     15162        81 recv
  9.06    4.040457        1152      3507           write
  8.47    3.778935         584      6466           gettimeofday
  2.92    1.302390         249      5232       996 read
  0.70    0.312654        2030       154           mmap2
  0.54    0.238858         263       908           lseek
  0.51    0.228638         799       286           sigprocmask
  0.46    0.205025        2971        69           open
  0.45    0.199864         351       569           getpid
  0.29    0.128819         447       288           munmap
  0.10    0.043609         261       167           getdents64
  0.09    0.038712         160       242           close
  0.03    0.012125        4042         3           clone
  0.02    0.009451         630        15        12 stat64
  0.01    0.006055         319        19           writev
  0.01    0.004544         568         8         5 access
  0.01    0.004150          58        71           mprotect
  0.01    0.002659          38        70           ioctl
  0.00    0.002138          33        64           getrusage
  0.00    0.001664          30        56           fstat64
  0.00    0.000164          82         2           dup
  0.00    0.000132          44         3           brk
------ ----------- ----------- --------- --------- ----------------
100.00   44.591065                 56989      1094 total
