104940
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 38.07   16.314858        3483      4684           semget
 21.20    9.085686         200     45476           msgget
 17.76    7.611241         303     25122        34 recv
  8.14    3.489322         227     15401           gettimeofday
  6.88    2.950473        1074      2746           write
  3.47    1.489262         187      7943      2870 read
  1.98    0.846540         616      1374           lseek
  0.76    0.325446         451       722           sigprocmask
  0.71    0.304385         496       614           getpid
  0.23    0.099389        2209        45           writev
  0.22    0.093489        1395        67           mmap2
  0.17    0.071869         298       241           getdents64
  0.15    0.064257         380       169           close
  0.09    0.038358         194       198           munmap
  0.09    0.037219        3384        11           open
  0.06    0.024919         277        90           getrusage
  0.02    0.009182         656        14           ioctl
  0.00    0.000466          67         7           mprotect
  0.00    0.000421         140         3           clone
  0.00    0.000245          49         5           fstat64
  0.00    0.000170          57         3           _llseek
  0.00    0.000163          82         2           brk
  0.00    0.000120          40         3           dup
------ ----------- ----------- --------- --------- ----------------
100.00   42.857480                104940      2904 total
