67376
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 28.69    9.207001        2162      4259           write
 27.66    8.875942         318     27875           msgget
 22.31    7.160196         449     15932        26 recv
  9.68    3.106600         249     12486           gettimeofday
  5.34    1.713909        1145      1497           semget
  2.73    0.876393         251      3495      1323 read
  1.65    0.530227         940       564           getpid
  1.05    0.337322        2595       130           mmap2
  0.27    0.086965         776       112           lseek
  0.21    0.066071         183       362           getdents64
  0.19    0.062316        1093        57           sigprocmask
  0.12    0.038052         148       257           munmap
  0.05    0.016935          96       176           close
  0.02    0.007926          57       138           getrusage
  0.00    0.000938         469         2           writev
  0.00    0.000735         105         7           open
  0.00    0.000646          65        10           ioctl
  0.00    0.000621         207         3           mprotect
  0.00    0.000462         154         3           clone
  0.00    0.000321          46         7           dup
  0.00    0.000161          54         3           _llseek
  0.00    0.000036          36         1           fstat64
------ ----------- ----------- --------- --------- ----------------
100.00   32.089775                 67376      1349 total
