78321
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 35.09   16.041896         510     31468           msgget
 26.84   12.269784         725     16915        39 recv
 18.47    8.444583         548     15417           gettimeofday
 13.35    6.103998         804      7596           write
  2.65    1.212502         696      1741           semget
  1.81    0.828711         186      4454      1335 read
  0.61    0.280458        2597       108           getdents64
  0.43    0.196021        1520       129           lseek
  0.34    0.157312        1918        82           mmap2
  0.22    0.099706        3438        29           getpid
  0.05    0.024397         542        45           sigprocmask
  0.04    0.017921        1054        17           open
  0.04    0.016514         446        37           ioctl
  0.02    0.007726         241        32           munmap
  0.01    0.005570          33       168           getrusage
  0.01    0.005063        5063         1           writev
  0.01    0.002976         129        23           close
  0.00    0.001996         117        17           mprotect
  0.00    0.000741         106         7           clone
  0.00    0.000637          42        15           _llseek
  0.00    0.000631          49        13           dup
  0.00    0.000273          39         7           fstat64
------ ----------- ----------- --------- --------- ----------------
100.00   45.719416                 78321      1374 total
