57830
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 44.05   24.538591       17293      1419           semget
 14.69    8.181402         481     17025           msgget
 13.74    7.650991         672     11384        29 recv
  9.46    5.269664         491     10723           gettimeofday
  6.50    3.622014        1993      1817           write
  5.06    2.817120         625      4510           lseek
  2.57    1.429437         173      8265       926 read
  2.41    1.343479         905      1484           sigprocmask
  0.93    0.517700        1961       264           getpid
  0.17    0.095265         557       171           getdents64
  0.11    0.062740         896        70           mmap2
  0.08    0.042826         911        47           open
  0.07    0.040256         433        93           writev
  0.06    0.033178         265       125           munmap
  0.04    0.022695         339        67           mprotect
  0.03    0.018855         152       124           close
  0.02    0.008681         228        38           ioctl
  0.01    0.005496          44       126           getrusage
  0.00    0.001971          34        58           fstat64
  0.00    0.000689         138         5           clone
  0.00    0.000587          53        11           brk
  0.00    0.000188          47         4           dup
------ ----------- ----------- --------- --------- ----------------
100.00   55.703825                 57830       955 total
