122134
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 30.08   15.778802         336     47022           msgget
 27.64   14.501258         461     31488       573 recv
 11.87    6.224809         369     16874           gettimeofday
 11.42    5.988431        2127      2816           semget
  8.41    4.410828         482      9145           write
  4.41    2.315703         263      8807      2055 read
  2.70    1.415586        1556       910           sigprocmask
  1.39    0.727026         303      2399           getpid
  1.29    0.678246         587      1156           lseek
  0.26    0.133885         247       541           close
  0.18    0.095120         167       568           munmap
  0.14    0.071232        2638        27           open
  0.13    0.068175        1136        60           mmap2
  0.09    0.045000         217       207           getdents64
  0.00    0.002039          38        53           ioctl
  0.00    0.001775         296         6           writev
  0.00    0.001473          33        44           getrusage
  0.00    0.000411         137         3           clone
  0.00    0.000303          61         5           mprotect
  0.00    0.000077          39         2           fstat64
  0.00    0.000051          51         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   52.460230                122134      2628 total
