100731
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 28.61   14.258736       10737      1328           semget
 16.71    8.329901         347     23977           msgget
 16.55    8.250194         504     16376        75 recv
 10.81    5.385741        1316      4092           write
  9.13    4.549920         359     12683           gettimeofday
  7.68    3.826610         230     16658           lseek
  7.03    3.504321         170     20647       856 read
  1.68    0.836739         254      3300           sigprocmask
  1.11    0.552728        1119       494           getpid
  0.17    0.086592         368       235           getdents64
  0.14    0.069532         565       123           mmap2
  0.12    0.059147         358       165           ioctl
  0.08    0.039048         283       138           munmap
  0.06    0.030372         323        94           open
  0.06    0.029581         242       122           close
  0.03    0.012948         206        63           mprotect
  0.03    0.012495         154        81           writev
  0.01    0.003463          38        90           getrusage
  0.00    0.002370          42        57           fstat64
  0.00    0.000505         126         4           brk
  0.00    0.000482         482         1         1 access
  0.00    0.000362         121         3           clone
------ ----------- ----------- --------- --------- ----------------
100.00   49.841787                100731       932 total
