49466
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 81.18   76.778526       37655      2039           semget
  6.66    6.294765         468     13452        36 recv
  5.10    4.819637         286     16868           msgget
  2.71    2.566468        1344      1909           write
  2.66    2.517724         238     10560           gettimeofday
  0.56    0.533210        1229       434           sigprocmask
  0.45    0.424449         155      2740      1053 read
  0.22    0.209474         705       297           getpid
  0.14    0.129884         270       481           writev
  0.09    0.081288        1534        53           mmap2
  0.08    0.075514         376       201           lseek
  0.05    0.049823         433       115           getdents64
  0.04    0.038139        1907        20           open
  0.03    0.031295         340        92           munmap
  0.01    0.012580         168        75           close
  0.01    0.004916        2458         2           clone
  0.00    0.002538          35        72           getrusage
  0.00    0.001431         119        12           mprotect
  0.00    0.001314          40        33           ioctl
  0.00    0.000202          40         5           fstat64
  0.00    0.000102          34         3           _llseek
  0.00    0.000093          47         2           dup
  0.00    0.000052          52         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   94.573424                 49466      1089 total
