138662
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 27.43   15.521242         550     28239           gettimeofday
 26.76   15.140735         278     54477           msgget
 15.49    8.767585         540     16237           write
 12.60    7.128563         293     24335         5 recv
 10.62    6.007805         512     11744      2982 read
  6.63    3.751664        1149      3265           semget
  0.18    0.101152        1297        78           mmap2
  0.09    0.052306        2753        19           open
  0.06    0.033476         540        62           sigprocmask
  0.05    0.028207         441        64           getpid
  0.03    0.018041         515        35           munmap
  0.03    0.017396        1338        13           getdents64
  0.02    0.011282         305        37           ioctl
  0.00    0.001969          82        24           close
  0.00    0.000897         897         1           dup
  0.00    0.000873         146         6           writev
  0.00    0.000723          30        24           getrusage
  0.00    0.000121         121         1           clone
  0.00    0.000059          59         1           mprotect
------ ----------- ----------- --------- --------- ----------------
100.00   56.584096                138662      2987 total
