58671
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 20.34    8.516074         667     12759        35 recv
 19.07    7.984160         540     14798           msgget
 17.55    7.349159        9410       781           semget
 17.01    7.122469         497     14345           gettimeofday
 10.40    4.352437        1645      2646           write
  3.95    1.655000         265      6246       476 read
  3.66    1.530710         496      3084           lseek
  2.48    1.039784        1112       935           sigprocmask
  1.43    0.597080         877       681           getdents64
  1.20    0.503898        1180       427           getpid
  1.09    0.457391        1457       314           writev
  0.42    0.175869        1490       118           mmap2
  0.42    0.174483         815       214           open
  0.24    0.099894         787       127           ioctl
  0.21    0.088366         282       313           fstat64
  0.21    0.087669         275       319           mprotect
  0.15    0.064240         216       297           close
  0.14    0.059180         346       171           munmap
  0.01    0.002514         132        19           dup
  0.00    0.002060          32        64           getrusage
  0.00    0.000814         163         5           clone
  0.00    0.000282          56         5           brk
  0.00    0.000111          37         3           _llseek
------ ----------- ----------- --------- --------- ----------------
100.00   41.863644                 58671       511 total
