63685
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 58.81   33.223028       15233      2181           semget
 11.97    6.761871         264     25652           msgget
 11.51    6.501368         375     17342        57 recv
  7.49    4.232007        1198      3532           write
  6.54    3.691796         409      9035           gettimeofday
  1.82    1.026016         253      4054      1438 read
  0.58    0.327413         486       673           getpid
  0.30    0.168197        1152       146           sigprocmask
  0.26    0.147483         677       218           munmap
  0.23    0.128718        1399        92           mmap2
  0.15    0.084066         309       272           getdents64
  0.10    0.056896         331       172           close
  0.08    0.045974        2873        16           open
  0.08    0.042445        2497        17           ioctl
  0.04    0.020642         459        45           lseek
  0.03    0.016732         132       127           writev
  0.01    0.007255         484        15        12 stat64
  0.00    0.002510          50        50           getrusage
  0.00    0.002118          78        27           mprotect
  0.00    0.000757         151         5           clone
  0.00    0.000618          77         8         5 access
  0.00    0.000240          48         5           fstat64
  0.00    0.000052          52         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   56.488202                 63685      1512 total
