51245
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 72.41   63.514763       36524      1739           semget
 14.49   12.710684        1065     11938         9 recv
  4.89    4.290865         251     17112           msgget
  3.03    2.662234        1533      1737           write
  2.82    2.470334         196     12612           gettimeofday
  0.76    0.666715         606      1101           lseek
  0.72    0.633851         178      3551       993 read
  0.54    0.475391         990       480           sigprocmask
  0.12    0.109055         290       376           getpid
  0.05    0.047027         735        64           getdents64
  0.05    0.041228         896        46           mmap2
  0.04    0.032531         220       148           munmap
  0.04    0.032423         235       138           close
  0.02    0.019323        1208        16           writev
  0.01    0.005361        2681         2           dup
  0.01    0.004850          36       134           getrusage
  0.00    0.000991         110         9           open
  0.00    0.000871          46        19           ioctl
  0.00    0.000556         139         4           clone
  0.00    0.000502          63         8           mprotect
  0.00    0.000203          41         5           fstat64
  0.00    0.000187          62         3           _llseek
  0.00    0.000113          57         2           brk
  0.00    0.000094          94         1         1 access
------ ----------- ----------- --------- --------- ----------------
100.00   87.720152                 51245      1003 total
