80210
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 27.06   11.357068         562     20203        16 recv
 25.04   10.509707         300     34980           msgget
 19.36    8.125870        2720      2987           semget
 12.09    5.075073        1211      4190           write
  9.50    3.988067         389     10239           gettimeofday
  3.22    1.352854         252      5379      1792 read
  1.18    0.496814         635       782           getpid
  1.05    0.439715        1225       359           sigprocmask
  0.89    0.371964         699       532           lseek
  0.20    0.083406        1438        58           mmap2
  0.10    0.041390        1293        32           open
  0.09    0.037600         225       167           writev
  0.08    0.033949         507        67           close
  0.05    0.022567         305        74           getdents64
  0.03    0.012214         174        70           munmap
  0.02    0.009332        4666         2           brk
  0.02    0.006309         100        63           ioctl
  0.00    0.000782         391         2           dup
  0.00    0.000546          34        16           getrusage
  0.00    0.000295          74         4           mprotect
  0.00    0.000144          36         4           fstat64
------ ----------- ----------- --------- --------- ----------------
100.00   41.965666                 80210      1808 total
