49894
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 83.12   66.620274       30757      2166           semget
  6.35    5.089167         232     21979           msgget
  3.04    2.440520         206     11856       114 recv
  2.75    2.206216         892      2472           write
  1.96    1.568804         331      4738           gettimeofday
  1.10    0.883919         217      4067      1218 read
  0.68    0.541109         902       600           getpid
  0.52    0.418940         387      1082           sigprocmask
  0.38    0.302340         417       725           lseek
  0.07    0.054549        1299        42           mmap2
  0.01    0.010011         173        58           munmap
  0.01    0.005117         100        51           close
  0.00    0.002148         269         8           open
  0.00    0.001493         373         4           clone
  0.00    0.001251          83        15           ioctl
  0.00    0.000941         471         2           writev
  0.00    0.000792         132         6           mprotect
  0.00    0.000716         179         4           getdents64
  0.00    0.000455          38        12           getrusage
  0.00    0.000135          45         3           _llseek
  0.00    0.000105          53         2           fstat64
  0.00    0.000103          52         2           dup
------ ----------- ----------- --------- --------- ----------------
100.00   80.149105                 49894      1332 total
