77665
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 74.85   60.690418       26630      2279           semget
  7.99    6.479200         337     19210         7 recv
  6.38    5.174264         219     23642           msgget
  4.07    3.301386         212     15605           gettimeofday
  3.35    2.717931        1312      2071           write
  1.35    1.098049         131      8366      1348 read
  1.32    1.068330         284      3767           lseek
  0.28    0.228451         264       865           sigprocmask
  0.17    0.139087         561       248           getpid
  0.04    0.031252         124       253           close
  0.03    0.026477         136       194           getdents64
  0.03    0.023197          74       312           fstat64
  0.03    0.020937         537        39           ioctl
  0.02    0.019464          62       314           mprotect
  0.02    0.018346         274        67           mmap2
  0.02    0.015468          90       171           open
  0.02    0.014914         113       132           getrusage
  0.02    0.012450         109       114           munmap
  0.00    0.002125         152        14           writev
  0.00    0.000102          51         2           brk
------ ----------- ----------- --------- --------- ----------------
100.00   81.081848                 77665      1355 total
