124553
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 34.54   21.373148        3220      6638           semget
 25.15   15.567056         266     58514           msgget
 17.31   10.713443         350     30650        93 recv
  9.66    5.977708         484     12360           gettimeofday
  5.63    3.482108        1232      2827           write
  2.62    1.623745        2711       599           getpid
  2.25    1.389591         131     10643      3974 read
  1.91    1.182523         684      1728           lseek
  0.33    0.204012         785       260           sigprocmask
  0.22    0.137599        4170        33           mmap2
  0.22    0.134237       12203        11           ioctl
  0.04    0.027444         323        85           munmap
  0.04    0.027139        1292        21           writev
  0.04    0.024761         349        71           getdents64
  0.03    0.019913         246        81           close
  0.00    0.000963         321         3           _llseek
  0.00    0.000710         142         5           open
  0.00    0.000442          32        14           getrusage
  0.00    0.000370         123         3           clone
  0.00    0.000252          84         3           mprotect
  0.00    0.000117          39         3           dup
  0.00    0.000046          46         1           fstat64
------ ----------- ----------- --------- --------- ----------------
100.00   61.887327                124553      4067 total
