89843
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 54.73   18.206885         408     44572           gettimeofday
 12.13    4.035164         149     27119           msgget
 11.37    3.781501        3395      1114           semget
 11.13    3.701187         275     13443       631 recv
  9.41    3.130302        2751      1138           write
  0.71    0.235000         116      2026       948 read
  0.17    0.056912        1674        34           mmap2
  0.14    0.046645         424       110           getdents64
  0.13    0.043946         360       122           lseek
  0.04    0.013611         801        17           sigprocmask
  0.02    0.006169          55       112           getrusage
  0.01    0.004982         226        22           munmap
  0.00    0.001094        1094         1           close
  0.00    0.000442         442         1           writev
  0.00    0.000190          95         2           open
  0.00    0.000152         152         1           clone
  0.00    0.000146          37         4           getpid
  0.00    0.000094          47         2           dup
  0.00    0.000076          38         2           ioctl
  0.00    0.000069          69         1           mprotect
------ ----------- ----------- --------- --------- ----------------
100.00   33.264567                 89843      1579 total

