78150
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 42.56   21.450214        9559      2244           semget
 17.28    8.709647         276     31607           msgget
 15.45    7.788880         381     20417       715 recv
 10.32    5.199626         804      6467           write
  6.03    3.040838         346      8796           gettimeofday
  4.93    2.483188        2251      1103           getpid
  1.49    0.751649         131      5742      1654 read
  0.67    0.338907         904       375           sigprocmask
  0.34    0.169230         443       382           lseek
  0.29    0.144260        2944        49           open
  0.21    0.107813         459       235           getdents64
  0.12    0.058844         248       237           close
  0.11    0.057054         648        88           ioctl
  0.10    0.049807         743        67           mmap2
  0.10    0.047958         183       262           munmap
  0.00    0.002387          48        50           getrusage
  0.00    0.001413          54        26           dup
  0.00    0.000411         411         1           writev
  0.00    0.000169         169         1           clone
  0.00    0.000060          60         1           mprotect
------ ----------- ----------- --------- --------- ----------------
100.00   50.402355                 78150      2369 total
