90585
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 50.34   30.378213       11621      2614           semget
 15.61    9.420374         286     32912           msgget
 13.03    7.864760         273     28851       112 recv
 10.30    6.214413         900      6903           write
  6.83    4.122431         496      8314           gettimeofday
  1.83    1.103070         167      6607      1890 read
  0.71    0.430177         556       774           sigprocmask
  0.39    0.237598         250       950           lseek
  0.21    0.129410         219       592           getdents64
  0.18    0.111012         212       524           getpid
  0.14    0.087059         524       166           open
  0.12    0.074787         209       357           close
  0.10    0.060456         182       332           ioctl
  0.10    0.057866         151       382           munmap
  0.06    0.036632         177       207           mmap2
  0.02    0.009251         514        18           writev
  0.00    0.002134          37        58           dup
  0.00    0.001417          71        20           getrusage
  0.00    0.000233         117         2           clone
  0.00    0.000105          53         2           mprotect
------ ----------- ----------- --------- --------- ----------------
100.00   60.341398                 90585      2002 total
