149468
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 37.14   17.885037         313     57185           write
 15.91    7.659240         227     33812           msgget
 15.16    7.301592         392     18639       347 recv
 14.90    7.175001        5354      1340           semget
 10.39    5.005111         249     20068      1264 read
  4.23    2.037414         149     13689           gettimeofday
  1.09    0.522548         230      2272           getpid
  0.55    0.263326         158      1671           writev
  0.37    0.178962         765       234           mmap2
  0.13    0.061568         648        95           getdents64
  0.07    0.031459         190       166           getrusage
  0.02    0.011548         296        39           sigprocmask
  0.02    0.010311         101       102           munmap
  0.01    0.004232          35       120           lseek
  0.00    0.000703         117         6           open
  0.00    0.000610          68         9           mprotect
  0.00    0.000318          45         7           close
  0.00    0.000266          33         8           fstat64
  0.00    0.000155         155         1           clone
  0.00    0.000120          40         3           ioctl
  0.00    0.000115         115         1           brk
  0.00    0.000065          65         1           dup
------ ----------- ----------- --------- --------- ----------------
100.00   48.149701                149468      1611 total

