138502
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 33.32   18.235570        5977      3051           semget
 29.64   16.220947         300     54001           msgget
 19.34   10.586430         198     53468       108 recv
 10.28    5.626790         334     16842           gettimeofday
  2.96    1.622327         789      2056           write
  1.47    0.806417         152      5296      1647 read
  1.16    0.633346         449      1410           lseek
  0.78    0.424440         256      1660           sigprocmask
  0.74    0.403048        1008       400           getpid
  0.16    0.090042        2309        39           mmap2
  0.05    0.028653        1910        15           open
  0.05    0.028413         233       122           getdents64
  0.02    0.012788         256        50           munmap
  0.01    0.004095          93        44           close
  0.00    0.001124         225         5           writev
  0.00    0.001080          45        24           ioctl
  0.00    0.000358         119         3           clone
  0.00    0.000351          44         8           getrusage
  0.00    0.000285          57         5           mprotect
  0.00    0.000081          41         2           fstat64
  0.00    0.000048          48         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   54.726633                138502      1755 total
