42080
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 39.47    9.873289       13112       753           semget
 22.46    5.618257         327     17196           msgget
 12.32    3.082667        1443      2137           write
 10.30    2.575764         268      9601        47 recv
 10.22    2.555593         362      7060           gettimeofday
  1.60    0.401165         142      2818       498 read
  1.25    0.312911         253      1236           lseek
  0.89    0.221590         599       370           sigprocmask
  0.65    0.162423         390       416           getpid
  0.42    0.103956        1118        93           mmap2
  0.25    0.063408         426       149           munmap
  0.11    0.027981         318        88           getdents64
  0.05    0.012105         127        95           close
  0.01    0.002182          57        38           getrusage
  0.00    0.001194         239         5           writev
  0.00    0.000873         109         8           open
  0.00    0.000615          44        14           ioctl
  0.00    0.000183          92         2           mprotect
  0.00    0.000041          41         1           fstat64
------ ----------- ----------- --------- --------- ----------------
100.00   25.016197                 42080       545 total
