55653
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 83.65   73.813531       30949      2385           semget
  5.66    4.997253         228     21887           msgget
  3.79    3.344290        1042      3208           write
  3.47    3.060624         218     14063        32 recv
  1.70    1.499092         197      7618           gettimeofday
  0.99    0.869845         200      4353      1369 read
  0.38    0.333041         485       686           getpid
  0.17    0.150401         210       716           lseek
  0.05    0.045969         253       182           sigprocmask
  0.04    0.033719        1249        27           mmap2
  0.03    0.028212         164       172           munmap
  0.03    0.026063         161       162           close
  0.02    0.017478        1457        12           getdents64
  0.01    0.008815          77       114           writev
  0.01    0.006147        1537         4           open
  0.00    0.001123          30        38           getrusage
  0.00    0.000726         182         4           clone
  0.00    0.000447          56         8           mprotect
  0.00    0.000187          37         5           ioctl
  0.00    0.000107          36         3           dup
  0.00    0.000106          35         3           fstat64
  0.00    0.000099          33         3           _llseek
------ ----------- ----------- --------- --------- ----------------
100.00   88.237275                 55653      1401 total
