57771
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 25.14   10.060747         977     10300           gettimeofday
 22.11    8.847978         381     23234           msgget
 21.01    8.407967         594     14165       196 recv
 11.64    4.657132        1473      3161           write
  5.50    2.200975        1789      1230           semget
  4.06    1.625212        1958       830           sigprocmask
  2.38    0.951160        1389       685           getpid
  2.11    0.843163         286      2946       947 read
  1.59    0.637937        3584       178           munmap
  1.15    0.458192        3695       124           ioctl
  1.13    0.454085        3068       148           writev
  0.91    0.363984        3033       120           mmap2
  0.56    0.225378         734       307           getdents64
  0.34    0.136259        1040       131           close
  0.22    0.086576         941        92           lseek
  0.11    0.045297         824        55           open
  0.03    0.011603         252        46           getrusage
  0.00    0.001645         274         6           clone
  0.00    0.001067          89        12           mprotect
  0.00    0.000061          61         1           dup
------ ----------- ----------- --------- --------- ----------------
100.00   40.016418                 57771      1143 total
