39404
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 31.14   11.344714       14772       768           semget
 20.79    7.574864         885      8556        23 recv
 14.01    5.102991         412     12390           msgget
 10.09    3.677005        1062      3461           lseek
  8.68    3.163167         490      6458           gettimeofday
  7.20    2.621715        1321      1984           write
  2.60    0.946918        7515       126           writev
  2.60    0.946619         198      4780       505 read
  1.17    0.424836        1059       401           sigprocmask
  0.62    0.226968        1464       155           getpid
  0.41    0.149732        2773        54           mmap2
  0.24    0.086711        1636        53           munmap
  0.17    0.062083         668        93           getdents64
  0.15    0.055104        6888         8           open
  0.06    0.020666         383        54           getrusage
  0.04    0.014147         382        37           close
  0.03    0.009569         870        11           mprotect
  0.00    0.000360          40         9           fstat64
  0.00    0.000206          52         4           brk
  0.00    0.000191         191         1           ioctl
  0.00    0.000130         130         1           clone
------ ----------- ----------- --------- --------- ----------------
100.00   36.428696                 39404       528 total
