60817
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 29.15    7.753094         283     27390           msgget
 22.54    5.994156        2499      2399           semget
 15.64    4.158447         277     15016        62 recv
 13.71    3.645876        1251      2914           write
 12.25    3.257708         553      5887           gettimeofday
  3.51    0.932488         192      4848      1471 read
  1.31    0.348247         346      1007           lseek
  0.83    0.219779         419       524           getpid
  0.41    0.109957         470       234           sigprocmask
  0.28    0.073757        1024        72           mmap2
  0.18    0.048718         282       173           munmap
  0.08    0.022568         148       153           close
  0.07    0.017480         175       100           getdents64
  0.01    0.002616         138        19           mprotect
  0.01    0.002239         280         8         5 access
  0.01    0.001878         235         8           open
  0.01    0.001778          59        30           getrusage
  0.01    0.001752         146        12           writev
  0.00    0.001155          77        15        12 stat64
  0.00    0.000235         235         1           clone
  0.00    0.000167          42         4           fstat64
  0.00    0.000125          63         2           ioctl
  0.00    0.000051          51         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   26.594271                 60817      1550 total
