103187
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 31.56   12.861864         393     32735           write
 20.18    8.223925         650     12655        49 recv
 18.71    7.625716         398     19161           msgget
 11.85    4.829408         213     22670       587 read
 10.54    4.293953         352     12188           gettimeofday
  3.85    1.567471        1666       941           semget
  1.10    0.448191         320      1399           lseek
  0.77    0.313020         600       522           getdents64
  0.48    0.195281        1122       174           mmap2
  0.43    0.176101         766       230           getpid
  0.22    0.087865         574       153           sigprocmask
  0.14    0.055323         432       128           writev
  0.12    0.048017         658        73           munmap
  0.02    0.009112         701        13           dup
  0.02    0.007714         309        25           open
  0.01    0.004914         100        49           close
  0.00    0.001565          34        46           getrusage
  0.00    0.000915          54        17           ioctl
  0.00    0.000512         128         4           clone
  0.00    0.000251          63         4           mprotect
------ ----------- ----------- --------- --------- ----------------
100.00   40.751118                103187       636 total
