105522
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 53.55   21.143969         415     50994           msgget
 19.29    7.617013         332     22947       135 recv
 12.02    4.745583         592      8021           write
  9.10    3.593430         262     13739           gettimeofday
  2.68    1.058564         384      2757           semget
  2.48    0.980956         151      6481      2324 read
  0.46    0.181685         724       251           lseek
  0.14    0.056151         729        77           mmap2
  0.12    0.045438         528        86           sigprocmask
  0.10    0.040235        1548        26           open
  0.02    0.009693         186        52           getdents64
  0.02    0.007849         253        31           munmap
  0.01    0.002620          49        54           ioctl
  0.00    0.001121         561         2           close
  0.00    0.000457         457         1           writev
  0.00    0.000137         137         1           clone
  0.00    0.000061          61         1           mprotect
  0.00    0.000059          59         1           getpid
------ ----------- ----------- --------- --------- ----------------
100.00   39.485021                105522      2459 total

