49180
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 78.78   70.290023       35428      1984           semget
  7.37    6.575946         595     11056        11 recv
  6.17    5.508259         310     17786           msgget
  3.56    3.175762         266     11932           gettimeofday
  2.44    2.175588        1240      1755           write
  0.69    0.612957         184      3336      1062 read
  0.58    0.516234        1373       376           getpid
  0.22    0.194293         337       577           lseek
  0.10    0.091586         763       120           sigprocmask
  0.05    0.043264        1236        35           mmap2
  0.02    0.021415         212       101           getdents64
  0.01    0.009403         348        27           close
  0.01    0.004965         103        48           munmap
  0.00    0.001210          40        30           getrusage
  0.00    0.000623         312         2           writev
  0.00    0.000545         109         5           mprotect
  0.00    0.000359         120         3           open
  0.00    0.000178         178         1           clone
  0.00    0.000173          43         4           ioctl
  0.00    0.000143          72         2           dup
------ ----------- ----------- --------- --------- ----------------
100.00   89.222926                 49180      1073 total
