80006
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 51.30   34.645611        8175      4238           semget
 20.26   13.683481         379     36078           msgget
 12.87    8.689963         370     23516        99 recv
  6.11    4.129655         695      5943           gettimeofday
  4.50    3.038804        1170      2597           write
  1.95    1.313731         231      5689      2237 read
  1.90    1.280290        3249       394           getpid
  0.43    0.287161         493       582           lseek
  0.14    0.096418        1461        66           close
  0.11    0.075827         824        92           mmap2
  0.10    0.070817         402       176           sigprocmask
  0.10    0.065535         590       111           munmap
  0.06    0.040587         828        49           open
  0.06    0.040091         174       230           writev
  0.05    0.035001        1029        34           getrusage
  0.05    0.032161         228       141           ioctl
  0.02    0.015477         228        68           getdents64
  0.00    0.000136         136         1           clone
  0.00    0.000058          58         1           mprotect
------ ----------- ----------- --------- --------- ----------------
100.00   67.540804                 80006      2336 total
