100350
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 61.35   45.148014       10945      4125           semget
 12.91    9.497550         220     43082           msgget
 10.79    7.943682         314     25278        72 recv
  6.69    4.922276         948      5195           write
  4.85    3.566934         294     12151           gettimeofday
  2.03    1.491042         187      7963      2507 read
  0.36    0.267203         556       481           sigprocmask
  0.24    0.175279         274       640           getpid
  0.16    0.120973        1512        80           open
  0.12    0.089473         323       277           lseek
  0.11    0.080788         607       133           getdents64
  0.11    0.078362         316       248           munmap
  0.10    0.073737         380       194           ioctl
  0.08    0.058211         458       127           mmap2
  0.05    0.039429         183       215           close
  0.03    0.018467         220        84           getrusage
  0.02    0.012680         906        14           mprotect
  0.01    0.003849          90        43           writev
  0.00    0.000996         166         6           clone
  0.00    0.000578          48        12        12 stat64
  0.00    0.000100          50         2           dup
------ ----------- ----------- --------- --------- ----------------
100.00   73.589623                100350      2591 total
