47364
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 57.02   33.507631       24158      1387           semget
 17.65   10.372073         496     20921           msgget
  8.64    5.080082         384     13243        57 recv
  8.38    4.921787         932      5282           gettimeofday
  5.85    3.437600        1450      2370           write
  0.91    0.536680         212      2529       893 read
  0.56    0.329097         827       398           getpid
  0.27    0.161148         474       340           sigprocmask
  0.25    0.147768        1041       142           lseek
  0.21    0.125240         870       144           mmap2
  0.07    0.042654         217       197           ioctl
  0.07    0.038718         391        99           open
  0.06    0.033822         407        83           getdents64
  0.03    0.015132         140       108           munmap
  0.02    0.014163         171        83           close
  0.00    0.001300          46        28           getrusage
  0.00    0.000469          94         5           mprotect
  0.00    0.000370         123         3           clone
  0.00    0.000046          46         1           fstat64
  0.00    0.000038          38         1           dup
------ ----------- ----------- --------- --------- ----------------
100.00   58.765818                 47364       950 total
