143163
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 25.41   13.417312        2249      5967           semget
 21.28   11.236369         374     30076       122 recv
 19.48   10.285584         195     52638           msgget
 15.47    8.168369         472     17307           write
  6.60    3.483970         177     19690           gettimeofday
  5.50    2.904577         196     14796      3733 read
  2.25    1.189994        2324       512           getdents64
  1.36    0.717851        1439       499           getpid
  1.26    0.664574        2002       332           writev
  0.63    0.331480        1709       194           sigprocmask
  0.42    0.222302         656       339           mmap2
  0.27    0.144930         229       634           lseek
  0.03    0.017994         269        67           munmap
  0.02    0.011532         641        18           ioctl
  0.01    0.007885         192        41           close
  0.00    0.001397         155         9           open
  0.00    0.001395          44        32           getrusage
  0.00    0.000539         135         4           clone
  0.00    0.000352          59         6           mprotect
  0.00    0.000093          47         2           dup
------ ----------- ----------- --------- --------- ----------------
100.00   52.808499                143163      3855 total
