 7837  0   8% R    18 105644K  38844K  fg app_7837 /system/b2g/b2g
 7837  0  21% R    18 109788K  43216K  fg app_7837 /system/b2g/b2g
 7837  0  37% R    18 121708K  54684K  fg app_7837 /system/b2g/b2g
 7837  0  22% T    22 123000K  55860K  fg app_7837 /system/b2g/b2g
 7837  0  27% T    26 119548K  49544K  fg app_7837 /system/b2g/b2g
 7837  0  29% S    26 119548K  49544K  fg app_7837 /system/b2g/b2g
 7837  0  29% R    26 119548K  49544K  fg app_7837 /system/b2g/b2g
 7837  0  34% T    26 119548K  49544K  fg app_7837 /system/b2g/b2g
 7837  0  29% T    26 119548K  49544K  fg app_7837 /system/b2g/b2g
 7837  0  33% R    26 119548K  49544K  fg app_7837 /system/b2g/b2g
 7837  0  32% T    26 119548K  49548K  fg app_7837 /system/b2g/b2g
 7837  0  30% S    26 119548K  49552K  fg app_7837 /system/b2g/b2g
 7837  0  28% R    26 119548K  49552K  fg app_7837 /system/b2g/b2g
 7837  0  30% R    18 116088K  50516K  fg app_7837 /system/b2g/b2g
 7837  0  25% R    26 120572K  50812K  fg app_7837 /system/b2g/b2g
 7837  0  30% T    26 120572K  50812K  fg app_7837 /system/b2g/b2g
 7837  0  31% R    26 120572K  50812K  fg app_7837 /system/b2g/b2g
 7837  0  29% T    26 120572K  50812K  fg app_7837 /system/b2g/b2g
 7837  0  34% R    26 120572K  50812K  fg app_7837 /system/b2g/b2g
 7837  0  31% T    25 119548K  50808K  fg app_7837 /system/b2g/b2g
 7837  0  30% T    25 119548K  50812K  fg app_7837 /system/b2g/b2g
 7837  0  33% S    25 119548K  50812K  fg app_7837 /system/b2g/b2g
