138533
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 46.76   23.768857        2894      8213           semget
 28.24   14.358010         193     74562           msgget
 17.78    9.039195         232     39026         9 recv
  2.88    1.462987         146     10001      4800 read
  2.05    1.041196        1264       824           write
  1.35    0.688048         131      5245           gettimeofday
  0.53    0.267828        1505       178           lseek
  0.25    0.125854        1114       113           sigprocmask
  0.06    0.032940         223       148           getpid
  0.04    0.019104         434        44           mmap2
  0.02    0.012569         419        30           open
  0.01    0.005355         153        35           close
  0.01    0.004368         128        34           munmap
  0.01    0.002684         447         6           mprotect
  0.00    0.002224          38        59           ioctl
  0.00    0.001580         263         6           clone
  0.00    0.000771         257         3           writev
  0.00    0.000476          95         5           getdents64
  0.00    0.000064          64         1           dup
------ ----------- ----------- --------- --------- ----------------
100.00   50.834110                138533      4809 total
