85133
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 35.90   13.638876         400     34128           msgget
 21.82    8.290332         424     19543        43 recv
 14.55    5.525395         682      8097           write
  7.19    2.733019        1425      1918           getpid
  6.89    2.615719         237     11020           gettimeofday
  6.18    2.348070         388      6051      1107 read
  3.80    1.444375        4023       359           writev
  1.43    0.543499        1018       534           sigprocmask
  0.97    0.368232         359      1025           lseek
  0.42    0.159431        1594       100           mmap2
  0.27    0.101479          79      1290           semget
  0.25    0.094989         199       477           getdents64
  0.14    0.051769         277       187           close
  0.10    0.036119         158       228           munmap
  0.06    0.020924         445        47           ioctl
  0.03    0.010345         369        28           open
  0.01    0.004633          51        90           getrusage
  0.00    0.000449         150         3           clone
  0.00    0.000305          61         5           mprotect
  0.00    0.000078          39         2           fstat64
  0.00    0.000055          55         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   37.988093                 85133      1150 total
