77601
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 69.87   56.256391       12424      4528           semget
 13.60   10.947075         475     23064        10 recv
 10.64    8.567524         272     31555           msgget
  3.20    2.576737         276      9336           gettimeofday
  1.29    1.036393        1515       684           write
  0.74    0.592103          96      6164      2100 read
  0.33    0.263546         151      1742           lseek
  0.13    0.101293         756       134           getpid
  0.10    0.076560        4253        18           mmap2
  0.08    0.061929         305       203           sigprocmask
  0.02    0.018104         624        29           munmap
  0.02    0.012354         187        66           getdents64
  0.01    0.005880         226        26           close
  0.00    0.003025         275        11           ioctl
  0.00    0.000740          31        24           getrusage
  0.00    0.000726         121         6           open
  0.00    0.000293          98         3           clone
  0.00    0.000274          55         5           mprotect
  0.00    0.000075          38         2           fstat64
  0.00    0.000048          48         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   80.521070                 77601      2110 total
