68954
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 64.48   36.817529       16042      2295           semget
 12.78    7.296340         369     19749           gettimeofday
  7.77    4.434896         180     24687           msgget
  7.16    4.087654         293     13951       272 recv
  3.69    2.108759        1771      1191           write
  1.00    0.570830        2265       252           mmap2
  0.80    0.457291        1535       298           munmap
  0.63    0.358112         343      1044           lseek
  0.57    0.327018          80      4075      1470 read
  0.56    0.319783         398       803           getdents64
  0.22    0.124655        1539        81           close
  0.10    0.054603         748        73           getpid
  0.09    0.052113         341       153           sigprocmask
  0.08    0.046781         538        87           ioctl
  0.03    0.015980         313        51           dup
  0.03    0.015338         192        80           getrusage
  0.02    0.008622         131        66           open
  0.00    0.001093         109        10           writev
  0.00    0.000674         169         4           clone
  0.00    0.000252          63         4           mprotect
------ ----------- ----------- --------- --------- ----------------
100.00   57.098323                 68954      1742 total
