108940
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 48.15   18.698657         375     49887           msgget
 19.79    7.687048         586     13109           write
 18.64    7.239767         291     24880       220 recv
  8.81    3.421799         297     11522           gettimeofday
  2.39    0.926814         145      6395      2006 read
  1.59    0.617811         271      2278           semget
  0.31    0.119793         758       158           mmap2
  0.14    0.054667         344       159           munmap
  0.05    0.019788         618        32           close
  0.04    0.016411         278        59           lseek
  0.03    0.012238         139        88           getdents64
  0.02    0.007343         117        63           open
  0.02    0.005925          38       156           ioctl
  0.01    0.005303          39       136           sigprocmask
  0.00    0.000731          61        12           mprotect
  0.00    0.000260         130         2           clone
  0.00    0.000256         256         1           getpid
  0.00    0.000225         113         2           fstat64
  0.00    0.000059          59         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   38.834895                108940      2226 total
